Export MPAN / MSID,Import MPAN / MSID,Customer Name,Customer Site,Address Line 1,Address Line 2,Town/ City,County,Postcode,Country,Location (X-coordinate):_Eastings (where data is held),Location (y-coordinate):_Northings (where data is held),Grid Supply Point,Bulk Supply Point,Primary,Point of Connection (POC)_Voltage (kV),Licence Area,Energy Source 1,Energy Conversion Technology 1,CHP Cogeneration (Yes/No),Storage Capacity 1 (MWh),Storage Duration 1 (Hours),Energy Source & Energy Conversion Technology 1 - Registered Capacity (MW),Energy Source 2,Energy Conversion Technology 2,CHP Cogeneration 2 (Yes/No),Storage Capacity 2 (MWh),Storage Duration 2 (Hours),Energy Source & Energy Conversion Technology 2 - Registered Capacity (MW),Energy Source 3,Energy Conversion Technology 3,CHP Cogeneration 3 (Yes/No),Storage Capacity 3 (MWh),Storage Duration 3 (Hours),Energy Source & Energy Conversion Technology 3 - Registered Capacity (MW),Flexible Connection (Yes/No),Connection Status,Already connected Registered Capacity (MW),Already Connected - Maximum Export Capacity (MW),Already Connected - Maximum Export Capacity (MVA),Already Connected - Maximum Import Capacity (MW),Already Connected - Maximum Import Capacity (MVA),Date Connected,Accepted to Connect Registered Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MW),Accepted to Connect - Change to Maximum Export Capacity (MVA),Accepted to Connect - Change to Maximum Import Capacity (MW),Accepted to Connect - Change to Maximum Import Capacity (MVA),Date Accepted,Target Energisation Date,Distribution Service Provider (Y/N),Transmission Service Provider (Y/N),Reference,In a Connection Queue (Y/N),Distribution Reinforcement Reference,Transmission Reinforcement Reference,Last Updated,Longitude,Latitude,SpatialCoordinates_Customer,SiteFunctionalLocation,Primary Resource Type_Group
Data not available,,Yetigen,(ANM) Beerhouse Farm,,CAWSTON,NORWICH,NORFOLK,NR10 4HU,England,614408,325843,NORWICH MAIN 132kV,SALL GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,20.0,20.0,21.053,,,,,No,To be confirmed,,,,,2020-11-13,1.17817468788413,52.787547416447,"52.787547416447,1.17817468788413",EPN-S0000000D5023,Solar PV
Data not available,,Shenton Group,GREEN TYE MUCH HADHAM SG10 6JJ,,GREEN TYE,MUCH HADHAM,ESSEX,SG10 6JJ,England,544192,218430,PELHAM GRID 132kV,BISHOPS STORTFORD GRID 132/33kV,MUCH HADHAM PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Biofuel biogas from anaerobic digestion (excluding landfill & sewage),Steam-gas turbine (CCGT),,,,1.8,,,,,,,,,,,,,No,Connected,1.8,1.8,1.895,,,2021-02-24,,,,,,,,,,,,,,2021-06-14,0.0918381264365807,51.8458562112571,"51.8458562112571,0.0918381264365807",EPN-S0000000H7075,Biogas
Data not available,,RNA Energy,Tollgate Farm,Tollgate Road,,Colney Heath,Herts,AL4 0NY,England,521304,205438,ELSTREE AIS 132KV,HATFIELD GRID 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,16.0,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,16.0,16.0,16.842,,,2020-06-15,,,,,,,,2020-11-13,-0.24478206294772,51.734537360084,"51.734537360084,-0.24478206294772",EPN-S0000000D8119,Solar PV
Data not available,,Regener8 Power Ltd,(ANM) Land on the South East side of Wilsons Road,,,Longstanton,Cambs,CB4 2EE,England,545170,260066,BURWELL MAIN GRID 132kV,HISTON GRID 132/33kV,LONGSTANTON PRIMARY 33/11kV,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,20.0,,,,,,,,,,,,,Yes,Accepted to Connect,,,,,,,20.0,20.0,21.053,10.0,10.526,2020-06-16,,,,,,,,2020-11-13,0.123680058760846,52.2196822598551,"52.2196822598551,0.123680058760846",EPN-S0000000H4043,Solar PV
Data not available,,AMP Energy Services Ltd,Postley Road,,,Bedford,Beds,MK42 7AG,England,503010,246660,SUNDON 132kV,MARSTON RD GRID 132/33kV,WEST BEDFORD PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Gas,Engine (combustion / reciprocating),,,,6.078,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,6.078,6.078,6.398,0.2,0.211,2020-07-09,,,,,,,,2021-12-14,-0.497273306502158,52.1086868544117,"52.1086868544117,-0.497273306502158",EPN-S0000000H4092,Fossil fuel
Data not available,,AMP Energy Services Ltd,EDISON ROAD,,,Bedford,Beds,MK41 0HR,England,508373,251377,SUNDON 132kV,EDISON RD GRID 132/11kV,,11kV,Eastern Power Networks (EPN),Gas,Engine (combustion / reciprocating),,,,5.07,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,5.07,5.07,5.337,,,2020-07-09,,,,,,,,2021-12-14,-0.417493602820197,52.150055183605,"52.150055183605,-0.417493602820197",EPN-S0000000F4039,Fossil fuel
Data not available,,Midlands Power Networks Ltd,HOLWELL,,,HITCHIN,Herts,SG3 3RT,England,0,0,WYMONDLEY MAIN 132kV,WYMONDLEY GRID 132/33kV,NORTH HITCHIN PRIMARY 33/11kV,11kV,Eastern Power Networks (EPN),Fosil gas,Engine (combustion / reciprocating),,,,1.052,,,,,,,,,,,,,No,Connected,1.052,1.052,1.107,0.1,0.105,2020-07-02,,,,,,,,,,,,,,2021-12-14,,,,EPN-S0000000H8165,Fossil fuel
Data not available,,Low Carbon,(ANM) LINKS RD,,,BRAINTREE,Essex,CM77 8DS,England,580010,221238,BRAINTREE 132kV,BRAINTREE LOCAL 132/33kV,,33kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,35.0,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,35.0,35.0,36.842,0.5,0.526,,,No,To be confirmed,,,,,2020-11-13,0.612745811940153,51.8606879246875,"51.8606879246875,0.612745811940153",EPN-S0000000D3015,Solar PV
Data not available,,RNA Projects Co Ltd,Land at Stonebury Farm,,,Buntingford,Herts,SG9 0EH,England,538940,226970,PELHAM GRID 132kV,,,132kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,99.9,,,,,,,,,,,,,No,Accepted to Connect,,,,,,,99.9,99.9,105.158,50.0,52.632,2020-08-18,,,,,,,,2020-11-13,0.0190825067583054,51.9239211289982,"51.9239211289982,0.0190825067583054",EPN-S0000000C7057,Solar PV
Data not available,,Low Carbon UK Solar Investment Company,(ANM) CHURCH ROAD,,,Chelmsford,Essex,CM2 8UN,England,573945,200054,RAYLEIGH MAIN 132KV,,,132kV,Eastern Power Networks (EPN),Solar,Photovoltaic,,,,49.9,Stored Energy (all stored energy irrespective of the original energy source),Storage - Electrochemical  (Batteries),,,,,,,,,,,Yes,Accepted to Connect,,,,,,,49.9,49.9,52.526,35.0,36.842,2020-06-12,,,,,,,,2021-12-14,0.514163432104632,51.672327758288,"51.672327758288,0.514163432104632",EPN-S0000000C7057,Solar PV
